year_month,expiration,execution
201701,2017-01-20,2016-12-16
201702,2017-02-17,2017-01-20
201703,2017-03-17,2017-02-17
201704,2017-04-21,2017-03-17
201705,2017-05-19,2017-04-21
201706,2017-06-16,2017-05-19
201707,2017-07-21,2017-06-16
201708,2017-08-18,2017-07-21
201709,2017-09-15,2017-08-18
201710,2017-10-20,2017-09-15
201711,2017-11-17,2017-10-20
201712,2017-12-15,2017-11-17
201801,2018-01-19,2017-12-15
201802,2018-02-16,2018-01-19
201803,2018-03-16,2018-02-16
201804,2018-04-20,2018-03-16
201805,2018-05-18,2018-04-20
201806,2018-06-15,2018-05-18
201807,2018-07-20,2018-06-15
