friday,fri_biz_day,expiration,execution,num_opts,exec_day_volume
2016-12-23,TRUE,2016-12-23,2016-12-16,28,401362
2016-12-30,TRUE,2016-12-30,2016-12-23,16,269670
2017-01-06,TRUE,2017-01-06,2016-12-30,32,396108
2017-01-13,TRUE,2017-01-13,2017-01-06,27,343481
2017-01-20,TRUE,2017-01-20,2017-01-13,23,751131
2017-01-27,TRUE,2017-01-27,2017-01-20,25,732644
2017-02-03,TRUE,2017-02-03,2017-01-27,25,326383
2017-02-10,TRUE,2017-02-10,2017-02-03,24,537446
2017-02-17,TRUE,2017-02-17,2017-02-10,25,972892
2017-02-24,TRUE,2017-02-24,2017-02-17,23,459290
2017-03-03,TRUE,2017-03-03,2017-02-24,24,477188
2017-03-10,TRUE,2017-03-10,2017-03-03,21,455659
2017-03-17,TRUE,2017-03-17,2017-03-10,31,600342
2017-03-24,TRUE,2017-03-24,2017-03-17,26,416011
2017-03-31,TRUE,2017-03-31,2017-03-24,20,694501
2017-04-07,TRUE,2017-04-07,2017-03-31,26,396042
2017-04-14,FALSE,2017-04-13,2017-04-07,24,396233
2017-04-21,TRUE,2017-04-21,2017-04-13,38,1099533
2017-04-28,TRUE,2017-04-28,2017-04-21,45,803672
2017-05-05,TRUE,2017-05-05,2017-04-28,22,513132
2017-05-12,TRUE,2017-05-12,2017-05-05,33,508633
2017-05-19,TRUE,2017-05-19,2017-05-12,25,752805
2017-05-26,TRUE,2017-05-26,2017-05-19,28,855072
2017-06-02,TRUE,2017-06-02,2017-05-26,19,394428
2017-06-09,TRUE,2017-06-09,2017-06-02,23,538360
2017-06-16,TRUE,2017-06-16,2017-06-09,32,1109832
2017-06-23,TRUE,2017-06-23,2017-06-16,23,383592
2017-06-30,TRUE,2017-06-30,2017-06-23,15,371478
2017-07-07,TRUE,2017-07-07,2017-06-30,25,443009
2017-07-14,TRUE,2017-07-14,2017-07-07,25,426141
2017-07-21,TRUE,2017-07-21,2017-07-14,24,666781
2017-07-28,TRUE,2017-07-28,2017-07-21,19,457915
2017-08-04,TRUE,2017-08-04,2017-07-28,23,396141
2017-08-11,TRUE,2017-08-11,2017-08-04,21,536668
2017-08-18,TRUE,2017-08-18,2017-08-11,39,1147634
2017-08-25,TRUE,2017-08-25,2017-08-18,27,554013
2017-09-01,TRUE,2017-09-01,2017-08-25,25,392667
2017-09-08,TRUE,2017-09-08,2017-09-01,22,338064
2017-09-15,TRUE,2017-09-15,2017-09-08,36,742370
2017-09-22,TRUE,2017-09-22,2017-09-15,21,401483
2017-09-29,TRUE,2017-09-29,2017-09-22,20,430454
2017-10-06,TRUE,2017-10-06,2017-09-29,24,570276
2017-10-13,TRUE,2017-10-13,2017-10-06,21,567587
2017-10-20,TRUE,2017-10-20,2017-10-13,19,533916
2017-10-27,TRUE,2017-10-27,2017-10-20,22,543093
2017-11-03,TRUE,2017-11-03,2017-10-27,26,555888
2017-11-10,TRUE,2017-11-10,2017-11-03,16,439288
2017-11-17,TRUE,2017-11-17,2017-11-10,35,815095
2017-11-24,TRUE,2017-11-24,2017-11-17,19,364719
2017-12-01,TRUE,2017-12-01,2017-11-24,24,493053
2017-12-08,TRUE,2017-12-08,2017-12-01,33,640921
2017-12-15,TRUE,2017-12-15,2017-12-08,30,633983
2017-12-22,TRUE,2017-12-22,2017-12-15,26,460215
2017-12-29,TRUE,2017-12-29,2017-12-22,15,576130
2018-01-05,TRUE,2018-01-05,2017-12-29,25,363253
2018-01-12,TRUE,2018-01-12,2018-01-05,21,441083
2018-01-19,TRUE,2018-01-19,2018-01-12,27,1011866
2018-01-26,TRUE,2018-01-26,2018-01-19,29,485752
2018-02-02,TRUE,2018-02-02,2018-01-26,31,737023
2018-02-09,TRUE,2018-02-09,2018-02-02,42,875323
2018-02-16,TRUE,2018-02-16,2018-02-09,46,1436527
2018-02-23,TRUE,2018-02-23,2018-02-16,58,734046
2018-03-02,TRUE,2018-03-02,2018-02-23,40,590454
2018-03-09,TRUE,2018-03-09,2018-03-02,45,650883
2018-03-16,TRUE,2018-03-16,2018-03-09,47,1321628
2018-03-23,TRUE,2018-03-23,2018-03-16,31,397213
2018-03-30,FALSE,2018-03-29,2018-03-23,45,1155108
2018-04-06,TRUE,2018-04-06,2018-03-29,42,417192
2018-04-13,TRUE,2018-04-13,2018-04-06,52,688564
2018-04-20,TRUE,2018-04-20,2018-04-13,44,967518
2018-04-27,TRUE,2018-04-27,2018-04-20,45,442966
2018-05-04,TRUE,2018-05-04,2018-04-27,43,506112
2018-05-11,TRUE,2018-05-11,2018-05-04,44,635304
2018-05-18,TRUE,2018-05-18,2018-05-11,37,665742
2018-05-25,TRUE,2018-05-25,2018-05-18,35,320408
2018-06-01,TRUE,2018-06-01,2018-05-25,37,371107
2018-06-08,TRUE,2018-06-08,2018-06-01,35,319510
2018-06-15,TRUE,2018-06-15,2018-06-08,40,446853
2018-06-22,TRUE,2018-06-22,2018-06-15,33,412209
2018-06-29,TRUE,2018-06-29,2018-06-22,23,363466
2018-07-06,TRUE,2018-07-06,2018-06-29,33,447146
2018-07-13,TRUE,2018-07-13,2018-07-06,36,441135
2018-07-20,TRUE,2018-07-20,2018-07-13,31,547985
2018-07-27,TRUE,2018-07-27,2018-07-20,33,435667
